Num,category,code,marketName,site,location,province,city,tel
1,공영도매시장,110001,서울가락시장,www.garak.co.kr,서울특별시 송파구 양재대로 932,서울,서울특별시,"(02)3435-1000, 0600"
2,공영도매시장,110008,서울강서시장,https://www.garak.co.kr/gangseo,서울특별시 강서구 발산로 40,서울,서울특별시,(02)2640-6000
3,공영도매시장,210001,부산엄궁시장,www.eomgung-market.busan.kr,부산광역시 사상구 농산물시장로 9,부산,부산광역시,(051)310-8282
4,공영도매시장,210009,부산반여시장,http://bymarket.busan.go.kr,부산광역시 해운대구 수영강변대로 626,부산,부산광역시,(051)550-8211
5,공영도매시장,220001,대구북부시장,http://daegu.go.kr/Market,대구광역시 북구 매천로 18길 45,대구,대구광역시,(053)803-7000
6,공영도매시장,230001,인천남촌시장,https://itour.incheon.go.kr/ssst/ssst/detail.do?cotId=ITD21122713504711816,인천광역시 남동구 남촌시장로 15 남촌 농산물 도매시장,인천,인천광역시,(032)440-6971
7,공영도매시장,230003,인천삼산시장,http://sm.incheon.go.kr,인천광역시 부평구 영성동로 46,인천,인천광역시,(032)440-6450
8,공영도매시장,240001,광주각화시장,http://gakhwa-market.gjcity.net,광주광역시 북구 동문로 260,광주,광주광역시,(062)613-5522
9,공영도매시장,240004,광주서부시장,http://seobu-market.gwangju.go.kr/,광주광역시 서구 매월2로 16,광주,광주광역시,(062)613-5474
10,공영도매시장,250001,대전오정시장,www.daejeon.go.kr/ohj/index.do,대전광역시 대덕구 한밭대로 987,대전,대전광역시,(042)622-3387
11,공영도매시장,250003,대전노은시장,http://www.daejeon.go.kr/noe,대전광역시 유성구 노은동로 33,대전,대전광역시,(042)270-7944
12,공영도매시장,380201,울산광역시장,http://ulsanmarket.or.kr,울산광역시 남구 삼산로 324,울산,울산광역시,(052)267-7220~1
13,공영도매시장,310101,수원시장,http://agrfish.suwon.go.kr,경기도 수원시 권선구 세권로 243,경기도,수원시,(031)5191-2704
14,공영도매시장,310401,안양시장,http://market.anyang.go.kr,경기도 안양시 동안구 흥안대로 313,경기도,안양시,(031)8045-2632
15,공영도매시장,310901,안산시장,http://www.iansan.net/market/01_sub/market01_01.jsp,경기도 안산시 상록구 충장로 312,경기도,안산시,(031)481-3730
16,공영도매시장,311201,구리시장,www.gamaco.co.kr,경기도 구리시 동구릉로 136번길 90,경기도,구리시,(031)560-5100
17,공영도매시장,320101,춘천시장,www.chuncheonmarket.or.kr,강원도 춘천시 마장길 39,강원도,춘천시,(033)253-3891
18,공영도매시장,320201,원주시장,http://wonjumk.go.kr,강원도 원주시 서원대로 33,강원도,원주시,(033)737-4351
19,공영도매시장,320301,강릉시장,http://www.gnns.co.kr,강원도 강릉시 유산로 60,강원도,강릉시,(033)646-4654
20,공영도매시장,330101,청주시장,http://cheongju.go.kr/market,충북 청주시 흥덕구 백봉로 254,충북,청주시,(043)201-2251
21,공영도매시장,330201,충주시장,http://cj100.net/market,충북 충주시 목행산단5로 54,충북,충주시,(043)850-3941
22,공영도매시장,340101,천안시장,http://cheonan.nongsu.com,충남 천안시 서북구 천안대로 1347,충남,천안시,(041)521-2841
23,공영도매시장,350101,전주시장,http://market.jeonju.go.kr,전북 전주시 덕진구 동부대로 1183,전북,전주시,(063)254-9774
24,공영도매시장,350301,익산시장,https://market.iksan.go.kr/,전북 익산시 번영로 1길 20,전북,익산시,(063)859-5259
25,공영도매시장,350402,정읍시장,http://market.jeongeup.go.kr,전북 정읍시 황토현로 1213-15,전북,정읍시,(063)532-4001
26,공영도매시장,360301,순천시장,http://scmarket.or.kr/,전남 순천시 해룡면 해광로 1,전남,순천시,(061)749-8811
27,공영도매시장,370101,포항시장,http://pohangmarket.or.kr,경북 포항시 북구 홍해읍 동해대로 1182,경북,포항시,(054)270-4787
28,공영도매시장,370401,안동시장,http://andongmarket.go.kr,경북 안동시 풍산읍 유통단지길 99,경북,안동시,(054)859-4070
29,공영도매시장,371501,구미시장,http://gumimarket.or.kr/,경북 구미시 고아읍 선산대로 309,경북,구미시,(054)480-4751
30,공영도매시장,380101,창원팔용시장,http://changwonmarket.go.kr,경남 창원시 의창구 차상로 18번길 45,경남,창원시,(055)225-7861
31,공영도매시장,380303,창원내서시장,http://changwonmarket.go.kr,경남 창원시 마산회원구 내서읍 유통단지로 33,경남,창원시,(055)225-7821
32,공영도매시장,380401,진주시장,http://market.jinju.go.kr,경남 진주시 남강로 1689,경남,진주시,(055)749-5625
